rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-2121-org,   mackenzie, huysse, 9, glencross street, , ettalong, 2251, nsw, 19911203, 35, 04 20956556, 7463467, 9
rec-1046-org,   hayley, fitzpatrick, 60, allchin circuit, , beverly hills, 3130, vic, 19930620, 29, 02 58956038, 6765154, 2
rec-5372-org,   brooke, stephenson, 89, a'beckett street, , undera, 4066, act, 19980206, 25, , 7994078, 1
rec-431-dup-1, charlie, matthews, 5, isis close, , corlette, 4220, vic, , 26, 02 81923009, 4586039, 8
rec-4055-org,   kazuki, pojsl, 18, cuthbert circuit, westbury, maryborough, 4306, vic, 19900813, 32, 03 51971578, 5608539, 6
rec-2753-dup-0, april, irons, 7, , kempfield, gawler east, 4655, vic, 19911224, 28, 02 53282670, 9498506, 0
rec-4262-org,   bethany, hyland, 69, skinner street, , rochedale south, 4415, nsw, 19921224, 12, 07 67778404, 7219336, 7
rec-1258-org,   joel, blackwell, 4, corringle close, , acton, 4157, qld, , 23, 04 19284144, 4085662, 8
rec-3064-org,   imogen, khuc, 7, croton street, the willows, aspley, 3018, qld, 19930804, 30, 07 66626039, 1044437, 7
rec-3267-org,   joel, white, 66, sharwood crescent, , albury, 2612, nsw, 19950711, 27, 02 45691775, 3981763, 2
rec-8340-dup-1, chelsea, clarke, 21, outtrim avenue, , theodore, 2203, nsw, 19901119, 28, 04 52560395, 4061486, 1
rec-2361-org,   ryan, , 65, mugglestone place, , gringegalgona, 2170, wa, 19970707, , 04 37842351, 5094795, 5
rec-7924-dup-0, emiixy, sheldon, 23, symersxstreet, lenaroy, northmead, 2429, qld, , 33, 04 57770229, 1452023, 3
rec-4092-dup-0, adam, mason, 69, pomeroy street, ingledell, devonort, 3130, vic, , 40, 08 81165262, 6762426, 3
rec-3072-org,   imogen, matthews, 3, flanagan street, , biggera waters, 2165, , 19920526, , 07 38384981, 3680029, 0
rec-3862-org,   miller, bilecki, 3, boustead circuit, eventide homes, parrakie, 2761, , 19950719, 33, 04 03483948, 1730708, 1
rec-519-org,   lily, hyland, 8, hardy place, , st ives, 2216, qld, 19990422, 29, 02 66483657, 3372710, 2
rec-3938-org,   thomas, boxer, 24, grayson street, , gin gin, 2470, qld, 19980824, 40, 04 34112184, 8289907, 9
rec-1054-dup-0, mia, lommna, 2, fitzmaurice street, glen-airli, marsfield, 5019, wa, 19940828, 27, 04 18306569, 2262576, 9
rec-148-org,   bertie, mcvicar, 148, kenyon circuit, , st albans, 3074, vic, 19980412, , 03 78422858, 7917224, 1
rec-7170-org,   d'arcy, campbell, 19, heagney crescent, kalkarindji community, ingleburn, 3231, qld, 19930618, 22, 08 08509895, 5850083, 4
rec-6820-org,   harry, mccarthy, 141, ainslie avenue, , preston, 2046, nsw, 19901012, 24, 08 00125982, 2605808, 1
rec-1711-dup-0, , mulveyg, 7, burford place, , inverfordon, 2620, sa, 19900613, 21, 04 44013712, 6955090, 8
rec-5033-org,   lily, godfrey, 1, osborne place, eden park, nowendoc, 5046, , 19921110, 27, 08 43027465, 8958453, 1
rec-5565-dup-1, mia, green, 412, alfred hill drive, fm 627, lemongrove, 4017, sa, 19900412, 28, 08 41638277, 4905752, 9
rec-3474-org,   olivia, prideaux, 133, twelve trees crescent, , blackheath, 3015, vic, 19901031, 32, 03 10701400, 6197069, 2
rec-2154-dup-0, georgia, dobell, 51, bungaree crescent, , seven hsills, 6280, sa, 19931220, 22, 04 95758106, 3626059, 4
rec-7330-org,   benjamin, warrior, 177, sid barnes crescent, wandoo stud, richardson, 3196, qld, 19920617, 20, 07 30287107, 9232189, 9
rec-2437-org,   tayla, , 15, nathan street, highgate, grassy, 2046, vic, 19980729, 28, 04 09518816, 3450390, 7
rec-4384-org,   annabelle, musolino, 38, salmond street, section, willagee, 4169, qld, , 33, 07 01969192, 7600442, 4
rec-1170-org,   isabella, dolby, 33, janari place, , campsie, 2290, qld, 19920225, 28, 08 61051321, 5450798, 1
rec-7900-org,   benjamin, budzynski, 10, maharatta circuit, , ormeau, 2840, vic, , 34, 07 98356088, 4765882, 2
rec-3796-org,   nathan, neumann, 10, le souef crescent, , kincumber, 3204, nsw, 19920107, 28, 08 61393288, 6178294, 5
rec-3784-org,   jake, hobson, 31, rivett street, wemyss, newstead, 4151, sa, 19920922, , 08 96289644, 9021914, 8
rec-3332-org,   connor, buckmaster, 30, cloncurry street, , preston, 6450, qld, 19960501, 28, 03 30187283, 9995985, 0
rec-882-dup-1, charl, shepherdson, 8, talbot street, , werington, 2640, qld, 19910422, 31, 08 08558606, 9217747, 3
rec-6675-org,   alexander, hammer, 2, tyrrell circuit, , stephens, 3824, vic, 19920723, 10, 07 96672454, 7218225, 7
rec-4101-dup-1, lein, campbeol, 30, gibson street, strathalan homes, dundas valley, 4740, qld, 19981204, , 04 90468904, 9255975, 8
rec-6088-org,   ebony, whatling, 14, haystack crescent, , east melbourne, 2594, vic, , 31, 04 07301541, 1085304, 3
rec-3241-org,   montanna, warneke, 56, outtrim avenue, , woodend, 3555, nsw, 19900804, 36, 07 21584044, 1954836, 7
rec-4074-org,   james, white, 6207, bride place, the olives, harwood island, 2040, vic, 19910531, 34, 04 40517131, 7456064, 6
rec-4989-org,   ethan, neumann, 62, grayson street, , briar hill, 2031, vic, 19950916, 29, 02 70631006, 7053491, 5
rec-1681-org,   laura, brentnall, , crisp circuit, , blackburn north, 7054, sa, 19901207, 35, , 3585753, 2
rec-1543-org,   joel, white, 56, gipps street, , farrer, 4807, wa, 19951025, , 07 02068163, 8117327, 9
rec-2270-org,   alexander, blackwell, 614, lowrie street, , sale, 6054, qld, 19970724, 30, 03 04128882, 2917538, 1
rec-6130-org,   , edgecombe, 4, holman street, eastwood cottage, , 2261, qld, 19910120, , , 2782236, 1
rec-424-dup-0, jeffries, emiily, 6, , aralee, brighton, 3690, nsw, , , 04 67831438, 5531846, 2
rec-3506-org,   tarshya, clarke, 433, adair street, westgate, broome, 2095, nsw, 19980929, 21, 02 25904010, 3203021, 0
rec-7499-dup-0, erin, needham, 15, payne place, moodwood angus stud, little grove, 3174, qld, , 31, 02 40932192, 1259533, 7
rec-5237-org,   john, white, 80, southwell street, , northbridge, 4614, qld, 19920414, , 07 92362916, 3723487, 2
rec-7545-org,   alexander, blackwell, 63, strehlow place, , windsor, 2832, vic, 19960326, 33, 03 89369815, 4187776, 6
rec-1754-org,   coby, green, 102, macdowell street, rosetta village, torrensville, 3919, nsw, 19951225, 25, 07 60162018, 4279792, 7
rec-6026-org,   sophie, , 19, alinga street, , , 6148, vic, 19980630, , 04 78970894, 9612337, 1
rec-2859-org,   aliza, white, 34, millen street, , ascot, 3201, vic, 19920615, 29, 07 99019144, 5308243, 6
rec-3522-org,   connor, beattie, 66, fawkner street, , kalamunda, 3040, vic, 19901027, 36, 03 20988899, 3788410, 0
rec-2895-org,   hayden, mason, 100, teakle place, glenview, glenning valley, 2145, nsw, 19910226, 31, 04 03941199, 2146962, 7
rec-3509-org,   natalia, lomman, 194, werribee crescent, , dulwich hill, 2756, qld, 19960428, 24, 02 16860498, 8117548, 1
rec-464-org,   liam, reid, 2, arthaldo court, opal cove resort, broadmeadows, 6069, wa, 19950722, 27, , 6896471, 0
rec-7375-org,   rebekah, thorpe, 64, nambucca street, centennial glen, st clair, 3126, vic, 19931020, 19, 04 23946802, 5835465, 3
rec-8322-dup-0, biaca, knapman, 44, sheehy street, , mulgrave east, 4159, vic, 19905120, , 04 17131255, 5644880, 8
rec-4437-org,   michael, van broekhoven, 278, prell place, , laverton, 3060, nsw, 19990728, 36, , 6795776, 6
rec-4708-org,   tabitha, bishop, 38, harpur place, oakdale, elsternwick, 4880, qld, 19990626, 29, 04 00833374, 5493704, 0
rec-3218-org,   emma, berry, 3, chinner crescent, jinchilla, ardlethan, 4220, nsw, 19930412, , 07 48613397, 4245173, 5
rec-6399-org,   tahni, jolly, 24, , , port fairy, 4122, vic, 19950724, 23, 04 23693744, 2957128, 3
rec-7627-org,   lexie, hazell, 146, stroud place, flower growers, ramsgate, , sa, 19911110, 23, 07 72642464, 1279296, 9
rec-7168-org,   amy, creber, 366, mckeahnie street, , sheidow park, 5018, vic, 19970226, 26, 02 22319431, 1592485, 6
rec-6748-org,   riley, cowden, 48, favell place, , wattle flat, 6016, tas, 19910102, , 03 32384931, 8611618, 2
rec-6034-org,   isabella, walls, 1, thozet place, laane coree, yuroke, 2446, , 19980210, , 07 72486170, 9843107, 5
rec-8280-org,   nicholas, forwood, 176, cuthbertson crescent, , woolgoolga, 3364, qld, 19990120, 25, 07 45366859, 9885618, 3
rec-1670-org,   liam, ossadtchouk, 12, longman street, cumkillenbar, kempsey, 2285, vic, 19940621, 27, 02 91884941, 3037663, 5
rec-6919-dup-1, hollu, denellis, 3, liffey circuit, , balwyn borth, 2039, qld, 19970812, , 04 66855898, 5038580, 0
rec-7483-org,   mikayla, heidrich, 9, gatton street, , oak flats, 7250, vic, 19980809, 32, 04 71547428, 6746835, 4
rec-6539-org,   riley, mcmullen, 17, webster street, , hope valley, 5268, vic, 19990612, 30, 03 67396688, 3782822, 8
rec-783-org,   joshua, hingston, 70, la perouse street, morrison park, brunswick west, 3155, qld, 19940921, 23, 04 98793989, 5758887, 4
rec-5697-org,   tyler, guildea, 20, fewtrell place, , sunnybank, 2018, nsw, 19901004, 8, 03 16414138, 5083256, 7
rec-5378-org,   jye, yun, 380, moran place, mayo, dyraaba creek, 4122, vic, , 23, 02 16103076, 3916591, 1
rec-6711-org,   riley, matthews, 45, laycock place, , ormond, 2720, vic, 19901009, 22, 02 98462040, 2146092, 5
rec-1651-org,   jasmyn, hand, 12, hann street, the willows, mitcham, 5086, vic, 19981126, 33, 03 41102526, 2638351, 4
rec-3632-org,   bree, gultjaeff, 93, dunbar street, , walgett, 2450, nsw, 19940113, 29, 04 97233276, 6996880, 0
rec-3995-org,   caleb, orchard, 4, mceachern crescent, , lavington, 2064, nsw, 19960418, 31, 03 57942793, 7465939, 1
rec-2765-dup-0, lachlan, white, 25, two stic ks road, villa 405 bally cara, wattle glen, 3076, nsw, 19970305, , , 4375824, 7
rec-95-org,   joshua, zimmermann, 130, maharatta circuit, , port macquarie, 2110, vic, 19901029, 33, 04 31024699, 7171049, 8
rec-8301-org,   nicholas, smithson, 8, wirraway crescent, , murray bridge, 2126, vic, 19970707, 29, 08 85161085, 8975990, 8
rec-659-org,   logan, colquhoun, 5, bellingham crescent, , adamstown heights, 5372, wa, 19970930, 28, 08 53670887, 8345970, 6
rec-7674-org,   joel, flannery, 22, jerrabomberra avenue, , st kilda, 3081, sa, 19950908, , 04 25729281, 3076248, 5
rec-4205-dup-1, micah, ryan, 16, wyles place, , east fremantle, 3021, vic, 19990817, 39, 04 95415388, 4184420, 3
rec-7236-org,   thomas, siggins, 24, gurner place, crystal falls, windsor, 4800, , 19991225, , 07 36907560, 1391742, 6
rec-923-org,   caitlin, noack, 9, blacket street, petriwil, st kilda, 2045, vic, 19971112, 31, 04 80987047, 9047837, 1
rec-3801-dup-0, morrison, mia, 37, henry melville crescent, , sunnybank, 4059, qld, 19900316, 22, 03 23994770, 4976176, 4
rec-726-org,   aleisha, mcvey, 4, purnell place, tulakan, brighton, 4305, qld, 19910324, 26, 02 34768516, 8532973, 8
rec-3190-org,   trent, reid, 8, kerr place, , como, 2156, vic, 19930527, 26, 04 47174452, 1012870, 9
rec-902-org,   patrick, fullgrabe, 16, spalding street, , parmelia, 0870, vic, 19921111, 39, 02 15620421, 3915659, 7
rec-2131-org,   oliver, stanley, 14, goddard crescent, , granville, 2228, vic, 19921121, 33, 02 29225916, 2076552, 8
rec-166-org,   daniel, tyner, 53, bamford street, , putney, 6027, qld, 19931014, 33, 08 18445616, 2858160, 7
rec-2887-org,   michael, white, 3, lorne place, elinure, invergordon, 2711, qld, 19900214, 24, 07 16067914, 3973334, 7
rec-1615-org,   natalia, mcclelan, , ogilby crescent, witwood, dulwich hill, 6025, nsw, 19900602, 26, 04 11431443, 5814103, 3
rec-6967-org,   harry, coxon, 22, gard place, port 363v, hamilton, 3414, vic, 19960607, 33, 04 24385316, 6927802, 1
rec-1102-org,   aidan, clarke, 4, cobby street, wildes mdw, cronulla, , , , 30, 02 20575370, 8422691, 2
rec-237-org,   madeleine, cannell, 14, cromwell circuit, witwood, grenfell, 4350, vic, , 34, 03 86425354, 2575651, 8
rec-4415-org,   harrison, adair, 29, hardey place, shalestone, cundletown, 4301, sa, 19950815, 29, 02 11397045, 1723451, 0
rec-7437-org,   jeremy, swney, 5, sinclair street, peppercorn lodge, crescent head, 3200, , 19920424, , 08 93851724, 7349176, 6
rec-1178-org,   john-paul, friebel, 16, jasper close, st francis vlge, bowral, 2580, vic, 19901224, 36, 08 76816208, 3539434, 2
rec-6478-org,   kalli, chigros, 184, griffith place, australia arcade, blackburn north, 6255, , 19961210, 25, 04 92989732, 8976942, 9
rec-7294-org,   tyler, knuplez, 5, ashby circuit, woodleigh, moama, 3141, qld, 19940101, , 08 74244574, 1709915, 5
rec-8237-org,   garth, burnell, 16, dunstan street, , beverly hills, 3058, nsw, 19950304, 40, , 9046690, 5
rec-4795-org,   joel, kempe, 65, jacka crescent, goldview, joondalup, 3073, nsw, 19971229, 26, 02 97713185, 5933489, 2
rec-3438-org,   annabel, noble, 52, hazel smith crescent, , highbury, 4120, nsw, 19940111, 29, 03 31815754, 4591608, 3
rec-5037-org,   giorgia, lamprey, 20, pryor place, summer hill, frankston, 2913, nsw, 19950130, 30, 03 77614912, 6748683, 7
rec-6014-org,   hannah, lissner, , chandler street, moonbi, coffs harbour, 3840, wa, 19910113, 26, 02 65138251, 2795277, 9
rec-6761-org,   ethan, bradshaw, 7, maharatta circuit, , marcus beach, 6159, nsw, 19991214, 25, 02 41266812, 6605313, 2
rec-5154-org,   darcy, ryan, 46, tregellas crescent, , stanley, 3573, vic, 19960107, , 03 68775708, 6073967, 7
rec-788-org,   madeline, taubert, 13, buxton street, , cremorne, 5023, vic, 19920610, , 02 15089873, 7004964, 9
rec-6525-org,   alexander, burford, 410, rule street, , edithvale, 2117, nsw, 19920617, 33, 08 89196626, 5965332, 0
rec-6182-org,   thomas, green, 157, frome street, kankama, west croydon, 3082, , 19940611, , 03 73115710, 7281798, 1
rec-1079-org,   angelica, laburn, 20, , , rokeby, 3101, wa, 19961002, 26, , 3314084, 4
rec-3836-org,   madison, morrish, 56, mcluckie crescent, , rowland flat, 2030, vic, , 9, 03 43030294, 8816742, 9
rec-7084-org,   isabella, white, 21, jevons place, mudhill, bomaderry, 6330, nsw, 19951104, 24, 03 99435690, 4814069, 4
rec-5922-dup-1, laetitia, neufing, 16, knox street, , williamstown, 6168, nsw, 19970265, 27, 02 25657279, 8090915, 8
rec-7466-org,   alexander, nalpantidis, 17, girdlestone circuit, , osborne park, 2089, , 19930628, 28, 03 83516698, 6220012, 7
rec-7000-org,   sebastian, siviour, 16, enderby street, , surrey hills, 2142, , 19970714, 24, 04 94756144, 1407044, 6
rec-795-dup-1, phoebe, webb, 25, john close, , campbelltown, 2500, vic, 19901217, 35, 02 53734736, 7292401, 4
rec-3208-dup-1, alisa, mccasrthy, 3, phillipson crescent, , brighton, 7004, wa, 19911215, , 04 55495609, 7882919, 9
rec-4313-dup-1, emiioh, wardle, 81, tennyson crescent, , mcphersons crossing, 4383, nsw, 19920219, 34, 04 23998931, 2212658, 2
rec-6776-dup-0, matthews, tarnia, 10, maxworthy street, thistledoo, pakenham, 2650, qld, 19990827, 28, 02 59175102, 1439426, 6
rec-7424-org,   lily, white, 3070, marulda street, , artarmon, 2611, , 19940616, 30, 07 08501771, 7844033, 7
rec-6137-org,   wilson, fleet, 48, hodgson crescent, , duncraig, 4552, act, 19961206, 21, 03 76589569, 6701719, 1
rec-7179-org,   elana, claydon, 1, praed place, , mountain creek estate, 5159, vic, 19910724, 31, 03 74936191, 6652701, 9
rec-3688-org,   kynan, whitters, 14, bonython street, , murwillumbah south, 2075, nsw, , , 02 51265878, 7804636, 1
rec-6194-org,   liam, coleman, 78, cockcroft avenue, , st georges basin, 2528, , 19911015, 34, 08 96397313, 6868423, 5
rec-8333-dup-0, sara, worsley, 9, ellenborough street, sunset, kingston, 6156, vic, , 10, 08 98163701, 7756524, 8
rec-8362-org,   michael, golden, 34, mackrell place, glen rock, elsternwick, 2177, nsw, 19910307, 25, 08 55897464, 9058308, 3
rec-4453-org,   eliza, bissett, 18, herschell circuit, colbara, chain valley bay, 4129, qld, 19960103, , 02 84660842, 3291785, 5
rec-6899-org,   jessica, sothman, 130, pankhurst crescent, , thornlie, 2428, qld, 19910715, 26, 04 35274200, 1992464, 4
rec-527-org,   gabrielle, white, 1, fisken crescent, , burwood east, 2480, vic, , 38, 07 81398110, 7462395, 9
rec-3166-org,   indiana, watkin, 11, beasley street, terara house, robina, 5600, qld, 19900204, 42, 03 86452782, 4251214, 9
rec-397-dup-0, anita, mcclelland, 10, boothbzu place, , williamstown, 2515, nsw, 19961025, 26, 03 69393868, 4481175, 9
rec-2600-org,   bailee, blake, 190, garland place, gowan, tallai, 4069, vic, 19930217, 30, 07 81668153, 6437958, 7
rec-3886-org,   matisse, van galen, 1, tillyard drive, donna valley, potts point, 3046, vic, 19940722, 30, 07 54444435, 9492617, 7
rec-6529-org,   fergus, kearnes, 8, mcclintock street, ellwood, mona vale, 2232, , , 28, 03 81282866, 2218622, 3
rec-7680-dup-0, alicia, coffey, 28, dutton street, , kahiba, 7250, qld, 19990104, 36, 03 08471672, 8936662, 5
rec-885-org,   tyler, kellar, 23, fleetwood smith street, , gunalda, 5253, nsw, 19900212, 30, 04 41445532, 3471770, 7
rec-5121-org,   jacob, clarke, 14, tyson street, , yass, 2158, nsw, 19991001, 27, 03 41862394, 6357811, 1
rec-2509-org,   daniel, thredgold, 3566, , , leongatha, 4570, , 19980525, , 03 08034257, 5264423, 7
rec-4709-org,   jack, procter, 107, doolette place, stefonair, revesby, 5453, qld, 19931128, 31, , 9433655, 8
rec-823-org,   james, shimpf, 93, ellerston avenue, , upper coomera, 6059, , 19980625, 22, 03 22225680, 5495803, 2
rec-6514-org,   ewan, bixley, 153, abernethy street, , lucknow, 2285, sa, 19920130, 32, 03 11500458, 2562652, 5
rec-1030-org,   imogen, schwinghammer, 29, macleay street, the atlas, scarborough, 2298, sa, 19930710, 25, 03 71426229, 7816514, 8
rec-2154-dup-1, georgia, dobell, 51, bungaree crescent, , sevenqhiols, 6280, sa, 19931220, 37, 04 95758106, 3626059, 4
rec-5634-org,   paige, howie, 28, glasgow place, , dalby, 4655, vic, 19910916, 26, 02 45900174, 8969498, 9
rec-5599-org,   casey, block, 18, melrose drive, , harbord, 3189, nsw, 19981018, , 07 91557561, 7527786, 5
rec-3024-org,   tyler, woollaston, 16, epenarra close, , kingston, 3199, wa, 19950627, 20, 03 48070206, 3169035, 6
rec-4242-dup-0, isabelle, pitt-lancaster, 2, mount vernon drive, , albany creek, 3130, sa, , 31, 04 48668136, 5013933, 7
rec-5190-org,   jessica, widdowson, 40, bamford street, , maitland, 0870, nsw, 19930509, 36, 04 77434705, 2341529, 3
rec-6369-dup-0, timmy, campbell, 621, fenton street, , blackheath, 3056, vic, 19971001, 22, 04 41604130, 1864321, 0
rec-3062-org,   shawn, craske, 128, conigrave place, , avondale heights, 3046, nsw, 19910828, 27, 08 70403976, 2466312, 7
rec-1261-org,   madison, shepherd, 10, millen street, hd talunga, moonah west, 2229, wa, 19901027, 20, 03 90582986, 7573282, 9
rec-2216-org,   thomas, sagrestano, 1, turriff street, loma, bassendean, 3073, vic, 19910522, , , 8745158, 4
rec-1839-org,   sophie, wilcockson, 10, , , bunyip, 2423, vic, 19940614, 32, 03 54678206, 8481023, 5
rec-1360-org,   tiana, fullwood, 123, chewings street, , frenchs forest, 3352, nsw, 19940803, 30, 02 36275532, 9465980, 7
rec-5872-org,   christian, timpson, 149, lambrigg street, greengrove, hampstead gardens, 2428, qld, 19940526, 32, 02 68888292, 2716121, 1
rec-4131-org,   brooklyn, cronshaw, 17, cottrell place, , mcmahons point, 0830, nsw, 19961025, 35, 03 46661479, 7781590, 5
rec-5047-org,   brianna, green, 191, moncrieff street, pleasant view, mount warren park, 2163, nsw, 19970830, 35, 07 05447332, 2105151, 0
rec-7488-org,   emmet, lette, 13, adair street, jandarra, yagoona, 4670, qld, 19910923, , 02 38371929, 1753092, 6
rec-4728-org,   tyler, mcneill, 5, habgood place, , blakehurst, 3106, , 19990909, 28, , 4408349, 0
rec-6167-dup-0, liam, symmons, 1, freda bennett circuit, the park, bondi junction, 2026, nt, 19960705, , 02 93529328, 8310073, 8
rec-6633-org,   nicholas, paterson, 68, magrath crescent, , wellington point, 2261, qld, 19910730, 31, 02 25136740, 3884279, 2
rec-520-org,   emiily, wilkins, 18, brownless street, duck creek, , 5064, qld, 19930312, 35, 07 97122589, 1278519, 6
rec-8366-org,   kane, kounis, 26, rushbrook circuit, , yagoona, 3373, vic, 19931007, 27, 08 69796632, 4722401, 0
rec-4214-org,   jackson, babic, 67, bendigo street, murray vale lodge, eton north, 3083, qld, 19980331, 24, 03 37494339, 7570789, 7
rec-3737-dup-1, blaize, donaldson, 1, millpost close, , port lincoln, 2000, vic, 19990927, 25, 07 53818791, 2247770, 0
rec-3509-dup-0, natalia, lomman, 194, werribee crescent, , dulwich ill, 2756, qld, 19960428, 24, 02 16860498, 8117458, 1
rec-7315-dup-1, jacob, zaremba, , halfrey circuit, , bondi junction, 3195, qld, , 32, 02 47730637, 5436580, 7
rec-6814-dup-0, annabe, whitd, 50, morrow street, john flynn medical centre, duncraig, 5162, vic, , 36, 07 93729904, 3275608, 3
rec-6766-org,   henry, hoang, 14, malara street, bonny doon, roxburgh park, 3081, wa, 19920206, 28, 02 80867974, 4557194, 1
rec-264-org,   charlotte, lock, 14, yalga close, never die, flinders park, 6016, nsw, 19980823, 25, 02 80702502, 7520020, 4
rec-5479-org,   caitlin, mazurkiewicz, 34, marsden street, eriswell park, lavington, 2224, tas, 19920122, 40, 08 03467704, 5656011, 7
rec-1381-org,   gracie, reid, 14, currong street, , raymond terrace, 2034, act, 19910406, 24, 03 58143674, 9578433, 7
rec-8215-org,   zachary, edgecombe, 14, prichard circuit, , collie, 3130, vic, 19920920, 28, 07 94917063, 1870268, 7
rec-3475-dup-1, ella, connier, 8, oliver street, , spring hill, 4790, nsw, 19900912, 42, 03 85685103, 9220991, 6
rec-3249-org,   alicia, pascoe, 3, oakover circuit, , wagaman, 3946, nsw, 19910414, 33, 07 51414339, 9897001, 8
rec-7727-org,   zebediah, clarke, 16, mcintyre street, colleton, eaton, 6225, wa, 19980417, 25, 03 08174963, 5374320, 2
rec-6685-org,   riley, ryan, 5, lawrence crescent, , labrador, 4218, nsw, , , 03 64249476, 7967675, 5
rec-3492-dup-1, daniel, jolyyl, 15, knox street, , beaconsfield upper, 2112, vic, 19950819, 30, 02 66107358, 7919657, 8
rec-1100-dup-0, rosie, nguyen, 142, gallagherkstreet, , stephens, 4073, vic, , 37, 03 50837401, 6369969, 0
rec-3125-org,   megan, kouvelis, 53, barrallier street, , eudunda, 2166, vic, 19980322, 31, 04 23073744, 4888462, 8
rec-6297-org,   lachlan, beverlee, 26, marcus clarke street, the lakes retirement village, hoppers crossing, 6230, wa, 19990711, 13, 08 50127329, 6350748, 2
rec-6349-org,   bailey, herbert, 7, chauvel street, , frankston, 2627, vic, 19981030, 31, 04 36646377, 6166228, 8
rec-3109-org,   stelio, markellos, 793, mccabe crescent, , pelaw main, 4074, qld, , 20, 02 86339043, 2169783, 6
rec-1517-org,   james, white, 42, neil place, , vaucluse, 7051, vic, 19921020, , 07 07695099, 7263831, 1
rec-8340-dup-0, chelsea, clarke, 21, outtrim avenue, , theodore, 2203, nsw, 19952219, 28, 04 52560395, 4061486, 1
rec-5228-org,   shakira, ryan, 17, medley street, , coffs harbour, 2304, vic, 19960503, 22, 03 85876847, 2470414, 3
rec-7089-dup-0, lachlan, gondzioulis, 9, arndellstreet, whylackie, casino, 5019, nsw, 19910422, , 03 75257442, 3692086, 0
rec-4766-org,   harry, leslie, 33, massey street, , st kilda, 4122, wa, 19920604, 24, 08 31340231, 6852626, 7
rec-2132-org,   eliza, denholm, 15, , , tatura, 2299, sa, 19980718, , 08 00224952, 6167612, 4
rec-1688-org,   alisa, gulliver, 28, ferdinand street, , kaleen, 2325, vic, 19900319, 31, 03 40051779, 1762049, 7
rec-1276-org,   kylee, birkin, 627, maribyrnong avenue, , deagon, 4053, wa, 19980108, 31, 07 01235524, 4291463, 9
rec-5727-org,   adrian, cmielewski, 7, gouger street, , rochedale south, 2484, vic, 19960606, 37, 08 29610333, 5806044, 8
rec-365-org,   neneh, longman, , potts place, , artarmon, 2077, nsw, 19960114, 32, , 3980847, 4
rec-3715-org,   oliver, fullgrabe, 52, , , quorn, 4109, , 19990103, 35, 04 68911568, 5528432, 7
rec-816-org,   , limbert, 51, belah street, , normanton, 6258, nsw, 19951024, 31, 02 19483123, 4169490, 5
rec-1152-org,   max, hamblin, 22, o'reilly place, , findon, 6112, vic, 19930212, 30, , 3301992, 9
rec-687-org,   zachary, hick, 63, boswell crescent, , cooma, 3672, nsw, 19900411, 35, 03 40782710, 2471420, 5
